,genotype,fitness,tree_depth,phenotype,other_info,mapping_values
472,"[[0], [0, 3, 1, 2], [0], [0], [0], [], [0], [0], [1, 9, 7, 6, 3, 6, 5]]",4.393835294868524e+27,7,0.197+((x[0])+((_exp_(63.65)))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 4, 1, 1, 1, 0, 1, 1, 7]"
473,"[[0], [1, 4], [], [0], [0], [0], [], [0], [5, 4, 2]]",5.18974709746036e+27,5,0.542+((_exp_((x[0]-33.941)))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 2, 0, 1, 1, 1, 0, 1, 3]"
474,"[[0], [1, 4], [], [0], [0], [0], [], [0], [2, 4, 3]]",5.18974709746036e+27,5,0.243+((_exp_((x[0]-33.941)))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 2, 0, 1, 1, 1, 0, 1, 3]"
475,"[[0], [1, 4], [], [0], [0], [0], [], [0], [8, 9, 3]]",5.18974709746036e+27,5,0.893+((_exp_((x[0]-33.941)))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 2, 0, 1, 1, 1, 0, 1, 3]"
476,"[[0], [1, 4], [], [0], [0], [0], [], [0], [6, 5, 0]]",5.18974709746036e+27,5,0.650+((_exp_((x[0]-33.941)))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 2, 0, 1, 1, 1, 0, 1, 3]"
477,"[[0], [1, 4], [], [0], [0], [0], [], [0], [7, 4, 9]]",5.18974709746036e+27,5,0.749+((_exp_((x[0]-33.941)))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 2, 0, 1, 1, 1, 0, 1, 3]"
478,"[[0], [1, 4], [], [0], [0], [0], [], [0], [6, 3, 5]]",5.18974709746036e+27,5,0.635+((_exp_((x[0]-33.941)))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 2, 0, 1, 1, 1, 0, 1, 3]"
479,"[[0], [1, 4], [], [0], [0], [0], [], [0], [8, 0, 2]]",5.18974709746036e+27,5,0.802+((_exp_((x[0]-33.941)))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 2, 0, 1, 1, 1, 0, 1, 3]"
480,"[[0], [1, 4], [], [0], [0], [0], [], [0], [2, 7, 2]]",5.18974709746036e+27,5,0.272+((_exp_((x[0]-33.941)))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 2, 0, 1, 1, 1, 0, 1, 3]"
481,"[[0], [1, 4], [], [0], [0], [0], [], [0], [8, 9, 5]]",5.18974709746036e+27,5,0.895+((_exp_((x[0]-33.941)))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 2, 0, 1, 1, 1, 0, 1, 3]"
482,"[[0], [1, 2], [], [0], [], [], [0], [0], [9, 9, 7, 6, 6, 2, 3]]",5.798605143716343e+28,6,0.997+((_exp_(66.23))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 2, 0, 1, 0, 0, 1, 1, 7]"
483,"[[0], [0, 1, 2, 3], [2], [0], [0], [], [0], [0], [7, 2, 3, 6, 5, 2, 5]]",1.1611988699238296e+30,7,0.723+(((_exp_(65.25)))*(x[0])),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 4, 1, 1, 1, 0, 1, 1, 7]"
484,"[[0], [1, 2], [], [0], [], [], [0], [0], [3, 0, 7, 6, 9, 6, 5]]",1.7725996718146177e+30,6,0.307+((_exp_(69.65))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 2, 0, 1, 0, 0, 1, 1, 7]"
485,"[[0], [0, 3, 1], [3], [3], [0], [], [0], [0, 0], [8, 7, 1, 6, 7, 2, 9, 7, 3, 6]]",3.8498372437871213e+34,6,0.871+((x[0])|_div_|((_sig_(0.672*(x[0]-97.36))))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 3, 1, 1, 1, 0, 1, 2, 10]"
